PROPERTY ID,ROOMS,VALUE,HOUSE TYPE
Not Found,2,575000,terraced
Not Found,2,575000,terraced
Not Found,2,575000,terraced
Not Found,2,575000,terraced
Not Found,3,225000,terraced
Not Found,3,1750000,terraced
Not Found,3,1100000,terraced
Not Found,3,1100000,terraced
Not Found,3,1099995,terraced
Not Found,3,999000,terraced
Not Found,3,950000,terraced
Not Found,3,850000,terraced
Not Found,3,850000,terraced
Not Found,3,850000,terraced
Not Found,3,850000,terraced
Not Found,3,800000,terraced
Not Found,3,800000,terraced
Not Found,3,795000,terraced
Not Found,3,775000,terraced
Not Found,3,775000,terraced
Not Found,3,775000,terraced
Not Found,3,775000,terraced
Not Found,3,775000,terraced
Not Found,3,770000,terraced
Not Found,3,750000,terraced
Not Found,3,750000,terraced
Not Found,3,750000,terraced
Not Found,3,740000,terraced
Not Found,3,730000,terraced
Not Found,4,550000,terraced
Not Found,4,1650000,terraced
Not Found,4,1475000,terraced
Not Found,4,1250000,terraced
Not Found,4,1150000,terraced
Not Found,4,1000000,terraced
Not Found,4,950000,terraced
Not Found,4,950000,terraced
Not Found,4,930000,terraced
Not Found,4,925000,terraced
Not Found,4,900000,terraced
Not Found,4,900000,terraced
Not Found,4,900000,terraced
Not Found,4,875000,terraced
Not Found,4,875000,terraced
Not Found,4,850000,terraced
Not Found,4,850000,terraced
Not Found,4,850000,terraced
Not Found,4,850000,terraced
Not Found,4,825000,terraced
Not Found,4,825000,terraced
Not Found,4,825000,terraced
Not Found,4,825000,terraced
Not Found,4,825000,terraced
Not Found,4,825000,terraced
Not Found,5,750000,terraced
Not Found,5,1850000,terraced
Not Found,5,1250000,terraced
Not Found,5,1250000,terraced
Not Found,5,1125000,terraced
Not Found,5,950000,terraced
Not Found,5,880000,terraced
Not Found,5,860000,terraced
Not Found,5,850000,terraced
Not Found,5,850000,terraced
Not Found,5,850000,terraced
Not Found,5,800000,terraced
Not Found,5,800000,terraced
Not Found,5,800000,terraced
Not Found,5,760000,terraced
Not Found,5,750000,terraced
Not Found,5,750000,terraced
Not Found,5,750000,terraced
Not Found,5,725000,terraced
Not Found,5,725000,terraced
Not Found,5,710000,terraced
Not Found,5,700000,terraced
Not Found,5,700000,terraced
Not Found,5,695000,terraced
Not Found,5,675000,terraced
Not Found,1,185000,semi-detached
Not Found,1,299950,semi-detached
Not Found,1,250000,semi-detached
Not Found,1,250000,semi-detached
Not Found,1,200000,semi-detached
Not Found,1,185000,semi-detached
Not Found,1,180000,semi-detached
Not Found,1,145000,semi-detached
Not Found,2,300000,semi-detached
Not Found,2,950000,semi-detached
Not Found,2,735000,semi-detached
Not Found,2,700000,semi-detached
Not Found,2,650000,semi-detached
Not Found,2,650000,semi-detached
Not Found,2,600000,semi-detached
Not Found,2,575000,semi-detached
Not Found,2,560000,semi-detached
Not Found,2,550000,semi-detached
Not Found,2,525000,semi-detached
Not Found,2,525000,semi-detached
Not Found,2,525000,semi-detached
Not Found,2,500000,semi-detached
Not Found,2,500000,semi-detached
Not Found,2,500000,semi-detached
Not Found,2,500000,semi-detached
Not Found,2,500000,semi-detached
Not Found,2,500000,semi-detached
Not Found,2,500000,semi-detached
Not Found,2,495000,semi-detached
Not Found,2,475000,semi-detached
Not Found,2,475000,semi-detached
Not Found,2,460000,semi-detached
Not Found,2,450000,semi-detached
Not Found,3,600000,semi-detached
Not Found,3,1350000,semi-detached
Not Found,3,1195000,semi-detached
Not Found,3,975000,semi-detached
Not Found,3,920000,semi-detached
Not Found,3,900000,semi-detached
Not Found,3,900000,semi-detached
Not Found,3,875000,semi-detached
Not Found,3,850000,semi-detached
Not Found,3,825000,semi-detached
Not Found,3,820000,semi-detached
Not Found,3,800000,semi-detached
Not Found,3,800000,semi-detached
Not Found,3,799950,semi-detached
Not Found,3,795000,semi-detached
Not Found,3,775000,semi-detached
Not Found,3,750000,semi-detached
Not Found,3,750000,semi-detached
Not Found,3,750000,semi-detached
Not Found,3,750000,semi-detached
Not Found,3,750000,semi-detached
Not Found,3,735000,semi-detached
Not Found,3,725000,semi-detached
Not Found,3,725000,semi-detached
Not Found,3,725000,semi-detached
Not Found,4,575000,semi-detached
Not Found,4,1600000,semi-detached
Not Found,4,1550000,semi-detached
Not Found,4,1475000,semi-detached
Not Found,4,1250000,semi-detached
Not Found,4,1250000,semi-detached
Not Found,4,1250000,semi-detached
Not Found,4,1250000,semi-detached
Not Found,4,1200000,semi-detached
Not Found,4,1135000,semi-detached
Not Found,4,1117500,semi-detached
Not Found,4,1100000,semi-detached
Not Found,4,1000000,semi-detached
Not Found,4,1000000,semi-detached
Not Found,4,1000000,semi-detached
Not Found,4,1000000,semi-detached
Not Found,4,995000,semi-detached
Not Found,4,995000,semi-detached
Not Found,4,995000,semi-detached
Not Found,4,975000,semi-detached
Not Found,4,950000,semi-detached
Not Found,4,950000,semi-detached
Not Found,4,945000,semi-detached
Not Found,4,935000,semi-detached
Not Found,4,925000,semi-detached
Not Found,5,415000,semi-detached
Not Found,5,2895000,semi-detached
Not Found,5,1500000,semi-detached
Not Found,5,1500000,semi-detached
Not Found,5,1350000,semi-detached
Not Found,5,1250000,semi-detached
Not Found,5,1250000,semi-detached
Not Found,5,1200000,semi-detached
Not Found,5,1200000,semi-detached
Not Found,5,1200000,semi-detached
Not Found,5,1150000,semi-detached
Not Found,5,1100000,semi-detached
Not Found,5,1100000,semi-detached
Not Found,5,1050000,semi-detached
Not Found,5,1000000,semi-detached
Not Found,5,950000,semi-detached
Not Found,5,950000,semi-detached
Not Found,5,950000,semi-detached
Not Found,5,925000,semi-detached
Not Found,5,925000,semi-detached
Not Found,5,900000,semi-detached
Not Found,5,895000,semi-detached
Not Found,5,875000,semi-detached
Not Found,1,400000,detached
Not Found,1,235000,detached
Not Found,1,220000,detached
Not Found,1,175000,detached
Not Found,1,132500,detached
Not Found,1,110000,detached
Not Found,1,110000,detached
Not Found,1,85000,detached
Not Found,1,75000,detached
Not Found,1,65000,detached
Not Found,2,200000,detached
Not Found,2,3000000,detached
Not Found,2,695000,detached
Not Found,2,650000,detached
Not Found,2,625000,detached
Not Found,2,600000,detached
Not Found,2,575000,detached
Not Found,2,575000,detached
Not Found,2,575000,detached
Not Found,2,575000,detached
Not Found,2,550000,detached
Not Found,2,525000,detached
Not Found,2,499995,detached
Not Found,2,499995,detached
Not Found,2,485000,detached
Not Found,2,475000,detached
Not Found,2,475000,detached
Not Found,2,475000,detached
Not Found,2,450000,detached
Not Found,2,450000,detached
Not Found,2,425000,detached
Not Found,2,425000,detached
Not Found,2,425000,detached
Not Found,2,415000,detached
Not Found,2,400000,detached
Not Found,3,350000,detached
Not Found,3,1850000,detached
Not Found,3,1800000,detached
Not Found,3,1500000,detached
Not Found,3,1500000,detached
Not Found,3,1400000,detached
Not Found,3,1250000,detached
Not Found,3,1190000,detached
Not Found,3,1100000,detached
Not Found,3,1100000,detached
Not Found,3,1000000,detached
Not Found,3,1000000,detached
Not Found,3,1000000,detached
Not Found,3,975000,detached
Not Found,3,950000,detached
Not Found,3,940000,detached
Not Found,3,900000,detached
Not Found,3,900000,detached
Not Found,3,900000,detached
Not Found,3,895000,detached
Not Found,3,895000,detached
Not Found,3,875000,detached
Not Found,3,875000,detached
Not Found,3,875000,detached
Not Found,3,875000,detached
Not Found,4,520000,detached
Not Found,4,3000000,detached
Not Found,4,2250000,detached
Not Found,4,2000000,detached
Not Found,4,2000000,detached
Not Found,4,2000000,detached
Not Found,4,1900000,detached
Not Found,4,1895000,detached
Not Found,4,1875000,detached
Not Found,4,1865000,detached
Not Found,4,1850000,detached
Not Found,4,1850000,detached
Not Found,4,1850000,detached
Not Found,4,1800000,detached
Not Found,4,1695000,detached
Not Found,4,1675000,detached
Not Found,4,1650000,detached
Not Found,4,1650000,detached
Not Found,4,1600000,detached
Not Found,4,1500000,detached
Not Found,4,1500000,detached
Not Found,4,1500000,detached
Not Found,4,1500000,detached
Not Found,4,1500000,detached
Not Found,4,1500000,detached
Not Found,5,775000,detached
Not Found,5,5000000,detached
Not Found,5,4700000,detached
Not Found,5,3850000,detached
Not Found,5,3395000,detached
Not Found,5,3000000,detached
Not Found,5,2950000,detached
Not Found,5,2895000,detached
Not Found,5,2850000,detached
Not Found,5,2800000,detached
Not Found,5,2750000,detached
Not Found,5,2650000,detached
Not Found,5,2500000,detached
Not Found,5,2500000,detached
Not Found,5,2500000,detached
Not Found,5,2500000,detached
Not Found,5,2500000,detached
Not Found,5,2500000,detached
Not Found,5,2499000,detached
Not Found,5,2350000,detached
Not Found,5,2295000,detached
Not Found,5,2295000,detached
Not Found,5,2250000,detached
Not Found,5,2250000,detached
Not Found,5,2250000,detached
Not Found,6,2250000,detached
Not Found,6,10000000,detached
Not Found,6,10000000,detached
Not Found,6,5950000,detached
Not Found,6,4500000,detached
Not Found,6,4500000,detached
Not Found,6,4450000,detached
Not Found,6,3495000,detached
Not Found,6,3250000,detached
Not Found,6,3000000,detached
Not Found,6,3000000,detached
Not Found,6,2750000,detached
Not Found,6,2500000,detached
Not Found,6,2495000,detached
Not Found,6,2300000,detached
Not Found,6,2250000,detached
Not Found,6,2250000,detached
Not Found,6,2250000,detached
Not Found,6,2250000,detached
Not Found,6,2200000,detached
Not Found,6,2150000,detached
Not Found,6,2150000,detached
Not Found,6,2100000,detached
Not Found,6,2100000,detached
Not Found,7,2000000,detached
Not Found,7,4500000,detached
Not Found,7,4250000,detached
Not Found,7,3350000,detached
Not Found,7,2000000,detached
Not Found,7,2000000,detached
Not Found,7,2000000,detached
Not Found,7,1850000,detached
Not Found,7,1850000,detached
Not Found,7,1750000,detached
Not Found,7,1500000,detached
Not Found,7,1495000,detached
Not Found,7,1450000,detached
Not Found,7,1400000,detached
Not Found,7,1350000,detached
Not Found,7,1155500,detached
Not Found,7,1100000,detached
Not Found,7,950000,detached
Not Found,8,2950000,detached
Not Found,8,2300000,detached
Not Found,8,2200000,detached
Not Found,8,2200000,detached
Not Found,8,1525000,detached
Not Found,8,1300000,detached
Not Found,8,645000,detached
Not Found,8,435000,detached
Not Found,1,525000,bungalow
Not Found,1,425000,bungalow
Not Found,1,375000,bungalow
Not Found,1,370000,bungalow
Not Found,1,360000,bungalow
Not Found,1,350000,bungalow
Not Found,1,325000,bungalow
Not Found,1,300000,bungalow
Not Found,1,290000,bungalow
Not Found,1,281000,bungalow
Not Found,1,275000,bungalow
Not Found,1,270000,bungalow
Not Found,1,250000,bungalow
Not Found,1,230000,bungalow
Not Found,1,225000,bungalow
Not Found,1,200000,bungalow
Not Found,1,200000,bungalow
Not Found,1,132500,bungalow
Not Found,1,75000,bungalow
Not Found,2,450000,bungalow
Not Found,2,850000,bungalow
Not Found,2,850000,bungalow
Not Found,2,750000,bungalow
Not Found,2,700000,bungalow
Not Found,2,695000,bungalow
Not Found,2,695000,bungalow
Not Found,2,675000,bungalow
Not Found,2,640000,bungalow
Not Found,2,635000,bungalow
Not Found,2,625000,bungalow
Not Found,2,600000,bungalow
Not Found,2,600000,bungalow
Not Found,2,597500,bungalow
Not Found,2,595000,bungalow
Not Found,2,585000,bungalow
Not Found,2,575000,bungalow
Not Found,2,570000,bungalow
Not Found,2,550000,bungalow
Not Found,3,550000,bungalow
Not Found,3,1225000,bungalow
Not Found,3,1200000,bungalow
Not Found,3,1000000,bungalow
Not Found,3,995000,bungalow
Not Found,3,950000,bungalow
Not Found,3,950000,bungalow
Not Found,3,925000,bungalow
Not Found,3,899995,bungalow
Not Found,3,850000,bungalow
Not Found,3,800000,bungalow
Not Found,3,795000,bungalow
Not Found,3,779995,bungalow
Not Found,3,775000,bungalow
Not Found,3,750000,bungalow
Not Found,3,750000,bungalow
Not Found,3,700000,bungalow
Not Found,3,700000,bungalow
Not Found,3,700000,bungalow
Not Found,3,700000,bungalow
Not Found,3,700000,bungalow
Not Found,3,695000,bungalow
Not Found,3,695000,bungalow
Not Found,3,684995,bungalow
Not Found,3,680000,bungalow
Not Found,4,399999,bungalow
Not Found,4,1600000,bungalow
Not Found,4,1400000,bungalow
Not Found,4,1100000,bungalow
Not Found,4,1000000,bungalow
Not Found,4,1000000,bungalow
Not Found,4,950000,bungalow
Not Found,4,900000,bungalow
Not Found,4,900000,bungalow
Not Found,4,900000,bungalow
Not Found,4,875000,bungalow
Not Found,4,865000,bungalow
Not Found,4,850000,bungalow
Not Found,4,850000,bungalow
Not Found,4,850000,bungalow
Not Found,4,850000,bungalow
Not Found,4,850000,bungalow
Not Found,4,825000,bungalow
Not Found,4,815000,bungalow
Not Found,4,800000,bungalow
Not Found,4,800000,bungalow
Not Found,4,795000,bungalow
Not Found,4,790000,bungalow
Not Found,4,785000,bungalow
Not Found,4,780000,bungalow
Not Found,5,500000,bungalow
Not Found,5,950000,bungalow
Not Found,5,900000,bungalow
Not Found,5,900000,bungalow
Not Found,5,800000,bungalow
Not Found,5,800000,bungalow
Not Found,5,799999,bungalow
Not Found,5,795000,bungalow
Not Found,5,750000,bungalow
Not Found,5,725000,bungalow
Not Found,5,700000,bungalow
Not Found,5,675000,bungalow
Not Found,5,650000,bungalow
Not Found,5,625000,bungalow
Not Found,5,625000,bungalow
Not Found,5,595000,bungalow
Not Found,5,580000,bungalow
Not Found,5,550000,bungalow
Not Found,5,550000,bungalow
Not Found,5,550000,bungalow
Not Found,5,530000,bungalow
Not Found,5,515000,bungalow
Not Found,5,500000,bungalow
Not Found,5,485000,bungalow
Not Found,5,465000,bungalow
